Object Number, Frame Rate
0, 653.034
1, 703.405
2, 634.284
3, 660.533
4, 565.331
5, 647.957
6, 582.809
7, 489.957
8, 613.034
9, 517.007
10, 630.657
11, 839.717
12, 675.514
13, 624.72
14, 763.673
15, 899.517
16, 801.654
17, 743.829
18, 837.815
19, 804.579
20, 519.992
21, 547.516
22, 623.887
23, 627.606
24, 768.472
